,race_id,driver_id,constructor_id,grid_position,race_points_scored,race_laps_completed,status_id,year,round,circuit_id,driver_nationality,constructor_nationality,driver_season_points,driver_season_position,driver_season_wins,constructor_season_points,constructor_season_position,constructor_season_wins,q1_time,q2_time,q3_time,final_position
75,21,21,10,19,0.0,65,11,2008,4,4,23,12,0.0,16.0,0.0,0.0,10.0,0.0,82516.0,82516.0,82516.0,10.0
76,21,10,7,14,0.0,65,11,2008,4,4,18,15,0.0,14.0,0.0,9.0,5.0,0.0,81427.0,81230.0,81230.0,11.0
77,21,14,9,17,0.0,65,11,2008,4,4,8,2,0.0,15.0,0.0,8.0,6.0,0.0,81810.0,81810.0,81810.0,12.0
78,21,11,8,22,0.0,65,11,2008,4,4,24,15,0.0,19.0,0.0,0.0,11.0,0.0,83496.0,83496.0,83496.0,13.0
79,21,3,3,15,0.0,41,5,2008,4,4,18,5,7.0,9.0,0.0,12.0,4.0,0.0,81472.0,81349.0,81349.0,34.0
80,21,4,4,2,0.0,34,5,2008,4,4,35,9,6.0,10.0,0.0,6.0,7.0,0.0,81347.0,80804.0,81904.0,34.0
81,21,22,11,11,0.0,34,4,2008,4,4,7,15,0.0,17.0,0.0,3.0,8.0,0.0,81548.0,81049.0,81049.0,34.0
82,21,5,1,6,0.0,21,3,2008,4,4,16,5,14.0,6.0,0.0,34.0,3.0,1.0,81430.0,80817.0,82231.0,34.0
83,21,19,8,21,0.0,8,21,2008,4,4,8,15,0.0,20.0,0.0,0.0,11.0,0.0,83318.0,83318.0,83318.0,34.0
84,21,7,5,16,0.0,7,4,2008,4,4,17,14,2.0,13.0,0.0,2.0,9.0,0.0,81540.0,81724.0,81724.0,34.0
85,21,12,4,10,0.0,6,4,2008,4,4,7,9,0.0,18.0,0.0,6.0,7.0,0.0,81409.0,80894.0,82699.0,34.0
86,21,16,10,20,0.0,0,4,2008,4,4,18,12,0.0,21.0,0.0,0.0,10.0,0.0,83224.0,83224.0,83224.0,34.0
87,21,20,5,18,0.0,0,4,2008,4,4,18,14,2.0,20.0,0.0,2.0,9.0,0.0,82108.0,82108.0,82108.0,34.0
88,22,13,6,1,10.0,58,1,2008,5,5,7,14,28.0,2.0,2.0,63.0,1.0,4.0,85994.0,86192.0,87617.0,1.0
89,22,1,1,3,8.0,58,1,2008,5,5,8,5,28.0,3.0,1.0,42.0,3.0,1.0,86192.0,86477.0,87923.0,2.0
90,22,8,6,4,6.0,58,1,2008,5,5,16,14,35.0,1.0,2.0,63.0,1.0,4.0,86457.0,86050.0,87936.0,3.0
91,22,9,2,5,5.0,58,1,2008,5,5,30,10,24.0,4.0,0.0,44.0,2.0,0.0,86761.0,86129.0,88390.0,4.0
92,22,2,2,9,4.0,58,1,2008,5,5,18,10,20.0,5.0,0.0,44.0,2.0,0.0,87107.0,87607.0,88882.0,5.0
93,22,4,4,7,3.0,58,1,2008,5,5,35,9,9.0,8.0,0.0,9.0,7.0,0.0,86836.0,86522.0,88422.0,6.0
94,22,17,9,6,2.0,58,1,2008,5,5,4,2,10.0,7.0,0.0,10.0,5.0,0.0,86773.0,86466.0,88417.0,7.0
95,22,3,3,11,1.0,58,1,2008,5,5,18,5,8.0,10.0,0.0,13.0,4.0,0.0,87367.0,87012.0,87012.0,8.0
96,22,14,9,10,0.0,58,1,2008,5,5,8,2,0.0,14.0,0.0,10.0,5.0,0.0,86939.0,86520.0,89959.0,9.0
97,22,15,7,8,0.0,58,1,2008,5,5,23,15,9.0,9.0,0.0,9.0,6.0,0.0,86695.0,86822.0,88836.0,10.0
98,22,18,11,13,0.0,57,11,2008,5,5,8,15,3.0,12.0,0.0,3.0,8.0,0.0,87428.0,87298.0,87298.0,11.0
99,22,5,1,2,0.0,57,11,2008,5,5,16,5,14.0,6.0,0.0,42.0,3.0,1.0,86736.0,86290.0,87808.0,12.0
100,22,10,7,15,0.0,57,11,2008,5,5,18,15,0.0,15.0,0.0,9.0,6.0,0.0,86614.0,87806.0,87806.0,13.0
101,22,22,11,12,0.0,57,11,2008,5,5,7,15,0.0,17.0,0.0,3.0,8.0,0.0,87355.0,87219.0,87219.0,14.0
102,22,12,4,17,0.0,57,11,2008,5,5,7,9,0.0,18.0,0.0,9.0,7.0,0.0,87568.0,87568.0,87568.0,15.0
103,22,16,10,19,0.0,57,11,2008,5,5,18,12,0.0,21.0,0.0,0.0,10.0,0.0,88325.0,88325.0,88325.0,16.0
